"Story","Title","Result","Date","Stability","Duration (s)"
"Cart tests","Test product added into the basket","SUCCESS","2022-11-09T10:42:01.521544554Z[Etc/UTC]","0.0","23.62"
"Login tests","Test login positive","SUCCESS","2022-11-09T10:42:01.556658419Z[Etc/UTC]","0.0","21.65"
"Checkout tests","Test checkout with complete order","SUCCESS","2022-11-09T10:42:01.665495648Z[Etc/UTC]","0.0","26.21"
"Login tests","Test login negative","SUCCESS","2022-11-09T10:42:23.761579369Z[Etc/UTC]","0.0","4.51"
