"Story","Title","Result","Date","Stability","Duration (s)"
"Cart tests","Test product added into the basket","SUCCESS","2022-11-08T16:11:33.972252971Z[Etc/UTC]","0.0","9.11"
"Login tests","Test login positive","SUCCESS","2022-11-08T16:11:44.205629678Z[Etc/UTC]","0.0","2.35"
"Login tests","Test login negative","SUCCESS","2022-11-08T16:11:46.681623086Z[Etc/UTC]","0.0","1.71"
"Checkout tests","Test checkout with complete order","SUCCESS","2022-11-08T16:11:48.579685953Z[Etc/UTC]","0.0","4.19"
