"Story","Title","Result","Date","Stability","Duration (s)"
"Cart tests","Test product added into the basket","SUCCESS","2022-11-08T15:59:57.694720142Z[Etc/UTC]","0.0","10.85"
"Login tests","Test login positive","SUCCESS","2022-11-08T16:00:09.852335744Z[Etc/UTC]","0.0","2.95"
"Login tests","Test login negative","SUCCESS","2022-11-08T16:00:12.91383665Z[Etc/UTC]","0.0","3.39"
"Checkout tests","Test checkout with complete order","SUCCESS","2022-11-08T16:00:16.613154632Z[Etc/UTC]","0.0","6.04"
