"Story","Title","Result","Date","Stability","Duration (s)"
"Cart tests","Test product added into the basket","SUCCESS","2022-11-08T15:38:42.798528873Z[Etc/UTC]","0.0","13.78"
"Login tests","Test login positive","SUCCESS","2022-11-08T15:38:57.631953068Z[Etc/UTC]","0.0","2.45"
"Login tests","Test login negative","SUCCESS","2022-11-08T15:39:00.174955844Z[Etc/UTC]","0.0","1.75"
"Checkout tests","Test checkout with complete order","SUCCESS","2022-11-08T15:39:02.121485359Z[Etc/UTC]","0.0","5.68"
